Valores Aplicados em Educação              Função 12;Dotação Atual;Despesa Autorizada;Despesa Empenhada;Despesa Liquidada;Despesa Paga;;
(+) Fonte 100;5.194.807.180,76;4.391.367.744,13;1.507.285.929,44;1.327.220.952,08;1.263.529.655,31;1.348.782.753,27;19- TOTAL DAS DESPESAS COM AÇÕES TÍPICAS DE MDE CUSTEADAS COM RECEITAS DE IMPOSTOS
(+) Fonte 102;0;0;0;0;0;;
(+) Fonte 107;0;0;0;0;0;;
(+) Fonte 108;0;0;0;0;0;;
(+) Fonte 122;729.518.752,42;692.538.312,74;206.046.959,73;134.125.487,31;133.636.757,58;;
(+) Fonte 129;0;0;0;0;0;;
(+) Fonte 148;76.691.306,00;0;0;0;0;;
(+) TOTAL DAS RECEITAS TRANSFERIDAS AO FUNDEB;4.746.950.289,79;4.746.950.289,79;4.746.950.289,79;4.746.950.289,79;4.746.950.289,79;;
(-) Despesa no PT 2253 - Nutrição Escolar para Unidades da FAETEC;28.799.700,00;28.799.700,00;9.668.742,45;4.367.482,94;3.898.194,12;;
(-) Despesa no PT 2701 - Disponibilização de Refeição;0;0;0;0;0;;
(-) Despesa no PT 8302 - Fornecimento de Refeição Preparada;27.409.324,00;27.409.324,00;8.950.000,00;6.484.764,46;6.484.764,46;;
(-) Despesa com o Rio Previdência (UGE 1234__);0;0;0;0;0;;
(-) Despesa com CEPERJ (U.O. 21410) ;0;0;0;0;0;;
(-) Despesa com FAPERJ (U.O. 40410);0;0;0;0;0;;
(-) Despesa no Elemento 3370%;0;0;0;0;0;;
(-) Despesas com Multas/Juros (31900703, 31901308, 31901312, 33903994 e 33904797);0;0;5.965.245,16;5.907.632,82;5.721.170,03;;
(-) Despesas com Indenizações e Restituições (33909300 e 44909300);3.813.630,00;3.813.630,00;804.128,33;755.945,18;600.734,63;;
(-) Despesas com Auxílios (33900800);34.975.968,00;34.975.968,00;16.406.971,37;13.200.704,37;13.190.823,51;;
(-) Despesas com Inativos e Pensionistas (31900100, 31900300, 31900500 e 33905900);159.870,00;159.870,00;50.849,64;50.849,64;50.849,64;;
(-) Despesas de material de consumo diversas (33903001, 33903003, 33903007, 33903012, 44905204);0;0;2.680.656,52;1.311.858,34;1.191.219,34;;
(-) Despesas de Exercícios Anteriores (Elemento de Despesa 92);0;0;80.637.255,55;80.484.448,37;79.752.729,73;;
A - 7.9.9.1.1.44.01 - SUPERAVIT FINANCEIRO DOS RECUROS TRANFERIDOS DO FUNDEB-IMPOSTOS E TRANSF DE IMPOSTOS;4.585.413,00;4.585.413,00;4.585.413,00;4.585.413,00;4.585.413,00;;
A - APLICAÇÃO DO SUPERÁVIT DO FUNDEB DO EXERCÍCIO ANTERIOR-IMPOSTOS E TRANSF DE IMPOSTOS;28.296.302,99;28.296.302,99;28.296.302,99;28.296.302,99;28.296.302,99;;
A - 7.9.9.1.1.44.01 - SUPERAVIT FINANCEIRO DOS RECUROS TRANFERIDOS DO FUNDEB-COMPLEMENTAÇÃO DA UNIÃO;2.968.357,32;2.968.357,32;2.968.357,32;2.968.357,32;2.968.357,32;;
A - APLICAÇÃO DO SUPERÁVIT DO FUNDEB DO EXERCÍCIO ANTERIOR-COMPLEMENTAÇÃO DA UNIÃO;5.144.462,03;5.144.462,03;5.144.462,03;5.144.462,03;5.144.462,03;;
B - RECEITAS RECEBIDAS DO FUNDEB;1.696.527.648,72;1.696.527.648,72;1.696.527.648,72;1.696.527.648,72;1.696.527.648,72;;
B - TOTAL DAS DESPESAS CUSTEADAS COM RECURSOS DO FUNDEB RECEBIDAS NO EXERCÍCIO;4.242.295.888,00;4.242.295.888,00;1.468.496.948,56;1.468.496.948,56;1.409.250.167,47;;
Total;2.902.439.887,81;2.902.439.887,81;2.902.439.887,81;2.902.439.887,81;2.902.439.887,81;;
   C - RP Cancelado TAC - Inscritos em 2016;0;0;0;0;0;;
   C - RP Cancelado TAC - Inscritos em 2017;0;0;0;0;0;;
   C - RP Cancelado TAC - Inscritos em 2018;0;0;0;0;0;;
   C - RP Cancelado TAC - Inscritos em 2019;0;0;0;0;0;;
   C - RP Cancelado TAC - Inscritos em 2020;0;0;0;0;0;;
   C - RP Cancelado TAC - Inscritos em 2021;0;0;0;0;0;;
   D - EXCESSO APLICADO EM EDUCAÇÃO - Inscritos em 2025;1.184.841.080,90;1.184.841.080,90;1.184.841.080,90;1.184.841.080,90;1.184.841.080,90;;
   D - Restos a Pagar Cancelados (RPP e RPNP) Inscritos em 2025;8.215.424,71;8.215.424,71;8.215.424,71;8.215.424,71;8.215.424,71;;
   D - EXCESSO APLICADO EM EDUCAÇÃO - Inscritos em 2024;926.687.592,15;926.687.592,15;926.687.592,15;926.687.592,15;926.687.592,15;;
   D - Restos a Pagar Cancelados (RPP e RPNP) Inscritos em 2024;0;0;0;0;0;;
   D - EXCESSO APLICADO EM EDUCAÇÃO - Inscritos em 2023;719.794.755,19;719.794.755,19;719.794.755,19;719.794.755,19;719.794.755,19;;
   D - Restos a Pagar Cancelados (RPP e RPNP) Inscritos em 2023;0;0;0;0;0;;
   D - EXCESSO APLICADO EM EDUCAÇÃO - Inscritos em 2022;62.901.034,86;62.901.034,86;62.901.034,86;62.901.034,86;62.901.034,86;;
   D - Restos a Pagar Cancelados (RPP e RPNP) Inscritos em 2022;0;0;0;0;0;;
   D - Restos a Pagar Cancelados (RPP e RPNP) 2021;0;0;0;0;0;;
   D - Restos a Pagar Cancelados (RPP e RPNP) 2020;0;0;0;0;0;;
   D - EXCESSO APLICADO EM EDUCAÇÃO - Inscritos em 2019;0;0;0;0;0;;
   D - Restos a Pagar Cancelados (RPP e RPNP) Inscritos em 2019;0;0;0;0;0;;
   D - Restos a Pagar Cancelados (RPP e RPNP) 2018;0;0;0;0;0;;
   D - Restos a Pagar Cancelados (RPP e RPNP) 2017;0;0;0;0;0;;
